ClienteID,ClienteNome,Telefone,Email
101,Benício Ribeiro,55819005214,dteixeira@yahoo.com.br
102,Dr. Vitor Gabriel Almeida,55619416502,ianda-cruz@nogueira.net
103,Srta. Rebeca Campos,55119205469,kamilly17@cavalcanti.br
104,Matheus Oliveira,55619942929,emillyda-paz@gmail.com
105,Nicolas Ribeiro,55419736657,das-nevesgabriel@moreira.br
106,Antônio Dias,55619373807,hda-rosa@duarte.net
107,Bárbara Dias,55319256016,rcavalcanti@peixoto.com
108,Ian da Paz,55319098307,igorfarias@freitas.com
109,Heitor Mendes,55419667486,rafaelcunha@hotmail.com
110,Levi Ferreira,55219287773,gomesthomas@da.org
111,Ryan Melo,55849335058,leandroporto@cardoso.com
112,Vitória Almeida,55849355757,guilherme06@moreira.br
113,Laura Teixeira,55519244508,joao-vitor27@carvalho.br
114,Maria Luiza da Costa,55219191805,silveirajuliana@hotmail.com
115,Arthur Vieira,55419209987,gda-mota@yahoo.com.br
116,Matheus Campos,55419399261,vitoriaferreira@uol.com.br
117,Letícia Lopes,55619192701,anthony27@uol.com.br
118,Maria Eduarda Moura,55719870920,luiz-henriquecosta@ribeiro.br
119,Isabelly Porto,55119914848,fernandesrebeca@hotmail.com
120,Eduardo Nunes,55119187060,jda-paz@uol.com.br
121,Emanuel Rezende,55819910777,ana-sophiada-mata@uol.com.br
122,Theo Rezende,55519305036,azevedomirella@goncalves.br
123,Renan Ribeiro,55819899250,juliana47@yahoo.com.br
124,Ana Luiza Ribeiro,55519812312,gustavo-henrique35@moraes.br
125,Ana Julia Fernandes,55719348351,qnunes@bol.com.br
126,Thomas Rezende,55719589161,da-motathomas@azevedo.com
127,Srta. Lavínia Lima,55819500919,luiz-felipecardoso@vieira.br
128,Júlia Farias,55819197871,fernanda25@yahoo.com.br
129,Danilo Oliveira,55849819802,danielcostela@da.org
130,Helena Cunha,55519515596,isaac71@uol.com.br
131,Enrico da Paz,55219888154,caldeiraana-laura@pinto.com
132,Lorena Caldeira,55219146960,fernandesvitor@rezende.com
133,Agatha da Mata,55319376129,ferreiranoah@gmail.com
134,Emilly Gonçalves,55819655805,knovaes@melo.br
135,Dra. Maria Vitória Aragão,55419695201,da-cunhabruna@bol.com.br
