VendedorID,VendedorNome,Telefone,Email
301,Luana das Neves,55849467265,anasales@uol.com.br
302,Srta. Giovanna Cavalcanti,55619737160,pietrafreitas@novaes.br
303,Lara Correia,55319837357,da-conceicaoemanuel@alves.br
304,Breno Farias,55119555537,martinsisabelly@viana.br
305,Ana Beatriz Silva,55719241045,silveiramaria-cecilia@uol.com.br
306,Melissa Mendes,55119563049,daniela55@hotmail.com
307,Lara da Mata,55819234971,marianaoliveira@gmail.com
308,Benjamin da Mata,55419654254,gabriellybarbosa@uol.com.br
309,Maria Alice Pinto,55219150976,lucas21@melo.org
310,Benjamin Teixeira,55619571500,da-luzluiz-fernando@gmail.com
311,Luna Mendes,55419446221,laura86@sales.com
312,Ana Cavalcanti,55119929911,maria-eduardaferreira@uol.com.br
313,Dr. Vinicius da Cunha,55519762739,pedro-miguel10@pinto.com
314,Luiz Otávio Carvalho,55619024653,antonio91@oliveira.com
315,Esther da Paz,55719389169,yurisilveira@viana.com
316,Samuel Pereira,55819518735,murilo74@hotmail.com
317,Enzo Gabriel Nascimento,55849674186,barbosaluiza@farias.net
318,Dra. Marina Silva,55719434359,pintoguilherme@yahoo.com.br
319,Carlos Eduardo Moreira,55119160856,melogustavo@uol.com.br
320,Luiz Henrique Fernandes,55619765108,kcosta@gmail.com
321,João Lucas Alves,55619136071,trodrigues@hotmail.com
322,Samuel Farias,55849100576,luiz-henrique17@novaes.com
323,Dra. Maitê Farias,55849967278,pietra93@pinto.com
324,Dr. Levi Araújo,55419055542,lorena18@bol.com.br
325,Eduarda Ferreira,55119816821,miguelfernandes@nogueira.net
326,Lorena Costela,55319391582,clarice46@souza.com
327,Bruno Sales,55219451933,qalmeida@bol.com.br
328,Sra. Heloísa Farias,55319877111,souzavitoria@cavalcanti.br
329,Maria Julia da Costa,55819459854,jesusisabella@uol.com.br
330,Sr. Luiz Felipe Silva,55119799286,stella96@ferreira.br
331,Carolina Peixoto,55619759223,joao-gabriel86@pinto.com
332,Luiz Felipe da Costa,55119555471,davi-lucca90@teixeira.org
333,Dr. Davi Lucca Dias,55719224166,ynogueira@castro.com
334,Maria Clara Gonçalves,55519534664,cardosomariane@gmail.com
335,Isabelly Souza,55319887466,eloah30@carvalho.br
336,Sr. Noah da Mata,55719877240,limajulia@uol.com.br
337,Srta. Evelyn Duarte,55219050374,ana-livia59@ig.com.br
338,João Aragão,55319562073,viniciusrezende@dias.br
339,Dra. Bruna Correia,55319984369,da-motagustavo-henrique@uol.com.br
340,Ana Júlia Nogueira,55419800951,ada-cunha@novaes.br
341,Dr. Yago Moura,55819217618,danielsales@bol.com.br
342,Lívia Nogueira,55319154824,maria-eduardada-mata@gmail.com
343,Rodrigo Almeida,55619543270,noah81@pinto.com
344,Benício Sales,55819519969,luccapinto@gmail.com
345,João Felipe Costa,55419285448,icarvalho@hotmail.com
346,Dra. Larissa Cardoso,55819761673,bpereira@bol.com.br
347,Lívia Sales,55619620886,dgomes@yahoo.com.br
348,Ana Luiza da Rocha,55819402779,maria-luiza00@ramos.com
349,Nicole Cardoso,55819819485,yteixeira@uol.com.br
350,Marina Dias,55719155108,peixotothales@gmail.com
